Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0966,"Suffolk County Energy Storage, LLC",Suffolk County Storage,12/21/19,55,55,ES,Suffolk,NY,K,West Babylon Substation 69kV,LIPA,1,1/31/20,,,03/2023,04/2023,05/2023
0967,KCE NY 5 LLC,KCE NY 5,12/27/19,150,150,ES,Ulster,NY,G,Roseton - Hurley Ave 345kV,CHGE,1,2/29/20,,,10/2022,10/2022,10/2022
0968,SED NY Holdings LLC,Gouverneur Solar Project,1/9/20,20,20,S,St. Lawrence,NY,E,North Gouverneur - Battle Hill 115kV,NM-NG,1,1/31/20,,,06/2022,07/2022,08/2022
0971,"Savion, LLC",East Setauket Energy Storage,1/10/20,297.9,300.9,ES,Suffolk,NY,K,Holbrook-Miller Place 138kV,LIPA,1,1/31/20,,,03/2024,04/2024,05/2024
0974,KCE NY 19 LLC,KCE NY 19,1/14/20,80,80,ES,Orange,NY,G,Sugarloaf - Wisner 69kV,O&R,1,1/31/20,,,05/2022,05/2022,06/2022
0977,Dimension NY 1 LLC,Umscheid,1/16/20,6.6,6.6,ES,Dutchess,NY,G,Pawling - Haviland Hollow 46kV,NYSEG,1,1/31/20,,,06/2022,06/2022,06/2022
0979,North Country Data Center,Load Increase at North Country Data Center (Former Reynolds Substation) to 435MW,1/22/20,,,L,St. Lawrence County,NY,E,Reynolds Substation,NYPA,1,2/29/20,,,10/2020,,
0980,Invenergy Storage Development LLC,Heritage Storage,1/22/20,8,8,ES,Erie,NY,A,Erie 34.5kV Substation,NYSEG,1,2/29/20,,,10/2021,10/2021,12/2022
0982,National Grid Generation LLC,West Babylon Power Station Battery Energy Storage System,1/22/20,50,50,ES,Suffolk,NY,K,West Babylon 69kV Substation,LIPA,1,2/29/20,,,10/2022,10/2022,12/2022
0987,Bay State Wind,NY Wind Holbrook 2,1/29/20,924,924,W,Suffolk,NY,K,Holbrook 138kV,LLIPA,1,2/29/20,,,01/2023,04/2024,05/2024
0992,"KCE NY 25, LLC",KCE NY 25,1/31/20,6,6,ES,Ontario,NY,B,Station 146 34.5kV ,RG&E,1,2/29/20,,,09/2022,09/2022,10/2022
